age,job,marital,education,credit_in_default,housing_loan,personal_loan,last_contact_type,last_contact_month,last_contact_day,last_contact_duration,n_contacts_this_campaign,n_contacts_prev_campaign,prev_campaign_outcome,registered,location
38.0,student,divorced,unknown,no,no,no,cellular,may,tue,244.0,3,0,nonexistent,no,Albufeira
34.0,services,married,professional.course,no,no,no,cellular,may,mon,190.0,3,0,nonexistent,no,Mealhada
43.0,housemaid,unknown,unknown,unknown,yes,yes,cellular,jul,thu,97.0,2,0,nonexistent,no,Vila Franca de Xira
75.0,retired,married,basic.4y,no,no,no,cellular,oct,wed,113.0,2,0,nonexistent,no,Mirandela
58.0,retired,married,unknown,no,unknown,unknown,telephone,may,tue,174.0,1,0,nonexistent,no,Funchal
30.0,admin.,single,university.degree,no,no,no,cellular,may,wed,82.0,2,1,failure,no,Ponte de Sor
29.0,services,single,high.school,no,yes,no,cellular,nov,wed,178.0,1,1,failure,no,Queluz
32.0,admin.,divorced,basic.9y,no,yes,no,cellular,jul,mon,118.0,3,0,nonexistent,no,Esmoriz
32.0,blue-collar,unknown,university.degree,unknown,yes,no,cellular,nov,tue,63.0,1,0,nonexistent,no,Chaves
24.0,technician,unknown,professional.course,unknown,no,no,telephone,may,mon,149.0,4,0,nonexistent,no,Agualva-Cacém
45.0,blue-collar,married,basic.4y,no,no,no,telephone,jul,fri,232.5,1,0,nonexistent,no,Valongo
32.0,technician,single,professional.course,no,no,yes,cellular,jul,tue,232.5,1,0,nonexistent,no,Portimão
50.0,unknown,married,basic.4y,unknown,no,yes,cellular,may,tue,77.0,4,1,failure,no,Peniche
33.0,services,divorced,high.school,no,yes,yes,telephone,may,wed,232.5,3,0,nonexistent,no,Vila Nova de Famalicão
53.0,blue-collar,married,unknown,no,no,no,cellular,aug,mon,115.0,1,0,nonexistent,no,Trancoso
36.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,156.0,1,1,failure,no,Funchal
32.0,technician,single,high.school,no,no,no,cellular,aug,mon,111.0,5,0,nonexistent,no,Rebordosa
28.0,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,232.5,1,0,nonexistent,no,Trancoso
41.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,232.5,2,0,nonexistent,no,Almada
50.0,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,200.0,2,0,nonexistent,no,Loulé
51.0,unknown,married,basic.4y,unknown,yes,yes,cellular,jul,mon,297.0,3,0,nonexistent,no,unknown
51.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,232.5,1,0,nonexistent,no,Almada
29.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,14.0,4,0,nonexistent,no,Almada
28.0,admin.,unknown,university.degree,no,yes,no,telephone,jul,mon,160.0,10,0,nonexistent,no,Macedo de Cavaleiros
34.0,admin.,single,university.degree,no,no,yes,telephone,may,wed,232.5,4,0,nonexistent,no,Queluz
34.0,blue-collar,married,unknown,no,yes,no,cellular,may,tue,232.5,1,1,failure,no,Gondomar
44.0,technician,divorced,professional.course,no,no,yes,telephone,jul,mon,107.0,3,0,nonexistent,no,Setúbal
55.0,technician,married,professional.course,no,yes,yes,cellular,aug,mon,232.5,4,0,nonexistent,no,Portalegre
42.0,admin.,single,high.school,no,no,no,cellular,jul,fri,163.0,1,0,nonexistent,no,Póvoa de Santa Iria
48.0,technician,single,professional.course,no,yes,no,cellular,may,wed,142.0,2,0,nonexistent,no,Sines
31.0,admin.,divorced,high.school,no,no,no,telephone,jun,fri,111.0,3,0,nonexistent,no,Santo Tirso
31.0,blue-collar,married,basic.6y,no,yes,no,cellular,nov,mon,232.5,1,2,failure,no,Rio Tinto
29.0,blue-collar,single,unknown,no,no,no,cellular,jul,mon,135.0,2,0,nonexistent,no,Fafe
45.0,technician,single,professional.course,no,yes,yes,cellular,mar,thu,143.0,2,0,nonexistent,no,Gafanha da Nazaré
34.0,admin.,single,university.degree,no,yes,no,cellular,aug,mon,232.5,3,0,nonexistent,no,Fátima
30.0,management,married,basic.4y,no,no,no,cellular,nov,mon,96.0,2,0,nonexistent,no,Vila Franca de Xira
41.0,admin.,married,university.degree,no,yes,no,cellular,jul,fri,269.0,7,3,success,no,Gafanha da Nazaré
40.0,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,134.0,1,0,nonexistent,no,Valongo
44.0,management,married,unknown,unknown,yes,no,cellular,jul,mon,418.0,1,0,nonexistent,no,Santa Comba Dão
32.0,technician,single,professional.course,no,yes,no,cellular,apr,mon,54.0,1,0,nonexistent,no,Agualva-Cacém
53.0,unemployed,married,basic.4y,unknown,yes,no,telephone,may,wed,339.0,10,0,nonexistent,no,Barcelos
46.0,entrepreneur,married,high.school,no,no,no,cellular,jun,tue,69.0,2,1,failure,no,Tavira
37.0,services,married,high.school,no,no,no,cellular,may,wed,232.5,1,1,failure,no,Agualva-Cacém
37.0,admin.,divorced,university.degree,no,yes,no,telephone,jun,mon,683.0,1,0,nonexistent,no,Freamunde
53.0,unemployed,married,basic.6y,unknown,no,no,cellular,jul,mon,273.0,1,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
41.0,housemaid,single,basic.4y,unknown,yes,no,cellular,jul,mon,385.0,3,0,nonexistent,no,Odivelas
53.0,unknown,married,university.degree,no,yes,no,cellular,aug,thu,232.5,1,0,nonexistent,no,unknown
34.0,technician,single,university.degree,no,yes,no,cellular,aug,wed,82.0,1,0,nonexistent,no,Covilhã
45.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,142.0,1,0,nonexistent,no,Oliveira do Bairro
29.0,services,married,basic.9y,no,no,no,telephone,may,fri,116.0,3,0,nonexistent,no,Estremoz
37.0,admin.,single,university.degree,no,yes,no,cellular,mar,thu,194.0,2,1,failure,no,Águeda
40.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46.0,1,0,nonexistent,no,Guimarães
26.0,admin.,married,high.school,no,yes,yes,telephone,jun,wed,119.0,2,0,nonexistent,no,Gafanha da Nazaré
34.0,blue-collar,married,unknown,unknown,no,yes,cellular,may,thu,262.0,1,0,nonexistent,no,Almada
27.0,technician,married,unknown,no,yes,no,cellular,jun,mon,492.0,1,0,nonexistent,no,Ponta Delgada
48.0,technician,married,high.school,no,yes,no,cellular,aug,thu,102.0,3,0,nonexistent,no,Marinha Grande
30.0,technician,single,basic.9y,unknown,no,no,cellular,jul,fri,171.0,7,0,nonexistent,no,Odivelas
